EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
278,1,1,32518,29,0.11,4.34,4.45,41386,1,7,1,,26000,2,2.5,3.1,3.3,5,0,5,4,0,200
280,1,2,31231,32,1.5,4.3,5.8,41400,2,24,5,15988,25512,1,3.2,4.2,4.333333333,18,1,12,0,0,213.1875
281,1,1,32655,28,0,4.27,4.27,41411,3,5,1,12391,29188,1,3.5,3.3,3.9,7,0,14,8,0,213.1875
282,1,1,33029,27,2.6,4.18,6.78,41442,3,6,1,22101,45114,1,3.4,4,4.666666667,20,2,50,14,0,201.9375
284,1,2,28642,39,7,4.12,11.12,41465,1,1,4,9689,15865,1,3.5,3.3,3.9,3,3,26,0,0,213.75
290,1,2,30375,35,1,3.98,4.98,41515,4,26,5,57632,65000,2,2.5,3.1,3.3,5,0,5,4,0,200
291,2,1,32474,29,1.2,3.98,3.98,41518,1,1,1,10000,16000,2,2.5,3.1,3.3,5,0,5,4,0,200
305,1,2,30480,34,2.6,3.74,6.34,41605,1,20,1,8000,14000,2,2.5,3.1,3.3,5,0,5,4,0,200
310,1,2,29922,36,6.6,3.69,10.29,41623,2,20,5,17112,22000,2,2.5,3.1,3.3,5,0,5,4,0,200
317,1,1,31083,33,0,3.64,3.64,41642,2,20,1,10000,24946,1,3.4,4.2,4.333333333,4,0,13,14,0,204.1875
318,1,1,33197,27,0,3.63,3.63,41645,1,20,1,10000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
320,2,1,33563,26,0,3.6,3.6,41656,1,24,1,10000,14000,2,2.5,3.1,3.3,5,0,5,4,0,200
324,1,2,29782,36,8.6,3.54,12.14,41677,2,24,1,20479,22000,2,3.4,5,4.333333333,8,1,12,6,0,200
325,1,2,31645,31,7,3.54,10.54,41677,2,24,1,19356,21000,2,2.5,3.1,3.3,5,0,5,4,0,200
326,1,2,31573,31,6,3.55,9.55,41673,1,29,1,12000,170000,2,2.5,3.1,3.3,5,0,5,4,0,200
